"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","DateDetermined"
111,"Lepidoptera","Lycaenidae","Ministrymon",NA,"leda","","L.Ponisio","Edwards",2013
112,"Hymenoptera","Apidae","Melissodes","","sp.","c","J.S. Ascher","",2013
113,"Hymenoptera","Apidae","Melissodes","Eumelissodes","grindeliae","","J.S. Ascher","Cockerell",2013
114,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","ruficorne","","J.S. Ascher","Crawford",2013
115,"Hymenoptera","Apidae","Triepeolus","","sp.","a","J.S. Ascher","",2013
116,"Diptera","Syrphidae","Copestylum",NA,"comstocki","","M. Hauser","Williston",2013
117,"Hymenoptera","Halictidae","Halictus","","ligatus","","J.S. Ascher","Say",2013
118,"Lepidoptera","Lycaenidae","Plebejus",NA,"acmon","","L.Ponisio","Westwood",2013
119,"Hymenoptera","Halictidae","Sphecodes","","sp.","a","J.S. Ascher","",2013
120,"Hymenoptera","Apidae","Melissodes","Eumelissodes","pallidisignata","","J.S. Ascher","Cockerell",2013
121,"Lepidoptera","Nymphalidae","Polygonia",NA,"gracilis","","L.Ponisio","Grote & Robinson",2013
122,"Lepidoptera","Papilionidae","Papilio",NA,"multicaudata","","L.Ponisio","Kirby",2013
123,"Lepidoptera","Papilionidae","Battus",NA,"philenor","","L.Ponisio","Linnaeus",2013
124,"Hymenoptera","Apidae","Anthophora","","marginata","","J.S. Ascher","Smith",2013
125,"Hymenoptera","Apidae"," Ptilothrix","","sp.","a","J.S. Ascher","",2013
126,"Hymenoptera","Vespidae","Ancistrocerus","","antilope","","J. Carpenter","Panzer",2013
127,"Hymenoptera","Megachilidae","Megachile","","policaris","","J.S. Ascher","Say",2013
128,"Hymenoptera","Vespidae","Ancistrocerus","","lineativentris","","J. Carpenter","Cameron",2013
129,"Diptera","Syrphidae","Copestylum",NA,"marginatum","","M. Hauser","Say",2013
130,"Lepidoptera","Hesperiidae","Epargyreus",NA,"clarus","","L.Ponisio","Cramer",2013
131,"Lepidoptera","Hesperiidae","Thorybes",NA,"pylades","","L.Ponisio","Scudder",2013
132,"Hymenoptera","Apidae","Svastra","","machaerantherae","","J.S. Ascher","Cockerell",2013
133,"Lepidoptera","Nymphalidae","Texola",NA,"elada","","L.Ponisio","Hewitson",2013
134,"Lepidoptera","Hesperiidae","Ochlodes",NA,"snowi","","L.Ponisio","Edwards",2013
135,"Lepidoptera","Lycaenidae","Celastrina",NA,"argiolus","ladon","L.Ponisio","Cramer",2013
136,"Lepidoptera","Hesperiidae","Erynnis",NA,"sp.","a","L.Ponisio","",2013
137,"Lepidoptera","Hesperiidae","Erynnis",NA,"sp.","b","L.Ponisio","",2013
138,"Hymenoptera","Vespidae","Euodynerus","","annulatus","","J. Carpenter","Say",2013
139,"Lepidoptera","Nymphalidae","Libytheana",NA,"carinenta","","L.Ponisio","Cramer",2013
140,"Diptera","Syrphidae","Sphaerophoria",NA,"sp.","a","M. Hauser","",2013
141,"Lepidoptera","Nymphalidae","Vanessa",NA,"virginiensis","","L.Ponisio","Drury",2013
142,"Lepidoptera","Nymphalidae","Phyciodes",NA,"tharos","","L.Ponisio","Drury",2013
143,"Hymenoptera","Halictidae","Lasioglossum","Sphecodogastra","lusorium","","J.S. Ascher","Cresson",2013
144,"Diptera","Syrphidae","Eristalis",NA,"hirta","","M. Hauser","Loew",2013
145,"Hymenoptera","Vespidae","Pseudepipona","","herrichii","aldrichi","J. Carpenter","Fox",2013
146,"Hymenoptera","Vespidae","Dolichovespula","","arenaria","","J. Carpenter","Fabricius",2013
147,"Diptera","Syrphidae","Eristalis",NA,"arbustorum","","M. Hauser","Linnaeus",2013
148,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","perdifficile","","J.S. Ascher","Cockerell",2013
149,"Diptera","Syrphidae","Copestylum",NA,"victoria","","M. Hauser","Williston",2013
150,"Hymenoptera","Megachilidae","Megachile","","inimica","sayi","J.S. Ascher","Cresson",2013
151,"Diptera","Syrphidae","Copestylum",NA,"mexicana","","M. Hauser","Macquart",2013
152,"Hymenoptera","Apidae","Svastra","","sp.","a","J.S. Ascher","",2013
153,"Hymenoptera","Apidae","Melissodes","Eumelissodes","verbesinarum","","J.S. Ascher","Cockerell",2013
154,"Hymenoptera","Apidae","Melissodes","Eumelissodes","limbus","","J.S. Ascher","LaBerge",2013
155,"Hymenoptera","Halictidae","Dieunomia","","nevadensis","arizonensis","J.S. Ascher","Cockerell",2013
156,"Hymenoptera","Halictidae","Halictus","","farinosus","","J.S. Ascher","Smith",2013
157,"Hymenoptera","Colletidae","Colletes","","gilensis","","J.S. Ascher","Cockerell",2013
158,"Diptera","Syrphidae","Allograpta",NA,"exotica","","M. Hauser","Wiedemann",2013
159,"Diptera","Syrphidae","Melangyna",NA,"lasiophthalma","","M. Hauser","Zetterstedt",2013
160,"Diptera","Syrphidae","Meligramma",NA,"guttata","","M. Hauser","Fallen",2013
161,"Hymenoptera","Apidae","Bombus","","nevadensis","","R.W. Thorp","Cresson",2013
162,"Hymenoptera","Colletidae","Colletes","","skinneri","","J.S. Ascher","Viereck",2013
163,"Hymenoptera","Apidae","Bombus","","occidentalis","","R.W. Thorp","Greene",2013
164,"Hymenoptera","Apidae","Tetraloniella","","lippiae","","J.S. Ascher","Cockerell",2013
165,"Diptera","Syrphidae","Blera",NA,"confusa","","M. Hauser","Johnson",2013
166,"Hymenoptera","Halictidae","Lasioglossum","","manitouellum","","J.S. Ascher","",2013
167,"Diptera","Syrphidae","Didea",NA,"fuscipes","","M. Hauser","Loew",2013
168,"Diptera","Syrphidae","Xylota",NA,"sp.","a","M. Hauser","",2013
