UniqueID,TempID,Site,Date,NetPan,PlantSp,locality,park
YOSE-7420_EMEC_697,697,L35,7/29/13,net,Solidago canadensis ssp. elongata,Illilouette basin,Yosemite National Park
YOSE-7420_EMEC_4195,4195,L24,7/18/13,net,Potentilla drummondii ssp. brewerii,Illilouette basin,Yosemite National Park
