site,meadow,MtRange,forest,county,state,country,lat,long,elevation
JC,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,New Mexico,USA," 35!51'18.33""N","105!38'26.07""W",approx 3000m asl
SC,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,New Mexico,USA," 35!12'22.86""N","106!26'36.15""W",approx 3000m asl
MM,South Baldy meadow,Magdalena Mts.,Cibola,Socorro,New Mexico,USA," 33!59'29.31""N","107!11'1.23""W",approx 3200m asl
PL,Hospital Flat,Pinalenos Mts.,Coronado,Graham,Arizona,USA," 32!40'6.21""N","109!52'39.51""W",approx 2700m asl
CH,Barefoot,Chiricahua Mts.,Coronado,Cochise,Arizona,USA," 31!55'2.68""N","109!16'44.17""W",approx 2500m asl
