"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Asemosyrphus crandialli",1,0.0099009900990099,0.00373134328358209,-0.996268656716418,0.701357466063348,1,1,1,0.00373134328358209,1.89592760180995,0,0,0.00367902053617201,0.000279511688401027,NA,0,1,0.0310056976270142,0.036929860824032,0.157135747854344,1
"Asemosyrphus polygrammus",3,0.0297029702970297,0.18531914893617,-0.271560283687943,0.434389140271493,0.98,0.98,0.571547606649408,0.0617730496453901,1.76470588235294,0.000385537448423177,0,0.00411628117366786,0.000776643699706194,NA,1.09861228866811,3,0.0930170928810425,0.0370676588121813,0.427408995170948,6
"Belllardi bellardi",3,0.0297029702970297,0.112809108361369,-0.295730297212877,0.384615384615385,0.9988,0.98,0.895325160406622,0.0360414850778083,1.69230769230769,0.000651008781568059,0,0.00435752842194144,0.00398729973265821,NA,0.408697725074314,1.50485677126045,0.0466591340216664,0.108447016673557,0.369848588974102,3.5
"Blera confusa",1,0.0099009900990099,0.00133868808567604,-0.998661311914324,0.705882352941177,1,1,1,0.00133868808567604,1.64253393665158,0,0,0.00452338590512952,0.000279781538459976,NA,0,1,0.0310056976270142,0.102935097147582,0.00260099802551275,1
"Bombus appositus",1,0.0099009900990099,0.3,-0.7,0.624434389140271,1,1,1,0.3,2.04072398190045,0,0,0.00334730556979584,0.000779820699952186,NA,0,1,0.0310056976270142,0.00137797988149373,0.817714737818592,1
"Bombus bifarius",16,0.158415841584158,2.40921085623455,0.0880756785146594,0.085972850678733,0.986739130434783,0.85,0.498385900228263,0.141623651582715,1.38914027149321,0.0062283824819011,0.0117770852725727,0.00536775127408703,0.00617783835422729,NA,1.85210388722903,6.373213950917,0.197605944674401,0.297836829152388,0.383792086500115,40.5
"Bombus centralis",26,0.257425742574257,2.26050058953017,0.0484807919050065,0.0407239819004525,0.982222222222222,0.75,0.410460987454621,0.137379177483897,1.24886877828054,0.0230037310947492,0.00630449543800954,0.00583516781761708,0.00657676586099007,NA,2.31057963694192,10.0802658564367,0.312545675144593,0.387595425106793,0.343590394850169,38
"Bombus fervidus",8,0.0792079207920792,0.478735041447377,-0.0651581198190778,0.221719457013575,0.9775,0.93,0.404120785740421,0.116186166959818,1.56561085972851,0.00347669051083066,0,0.00477971110642019,0.00177641846881479,NA,1.92512119079082,6.8559794971307,0.212574427225043,0.168145345077962,0.436505270784661,14.25
"Bombus flavifrons",29,0.287128712871287,4.27809052763116,0.113037604401074,0.0271493212669683,0.945333333333333,0.72,0.245581638488541,0.221398753983559,1.28054298642534,0.0190295838885926,0.00296787945013288,0.00572962214649739,0.00557719596036692,NA,2.97404709128564,19.5709650180979,0.606811423620015,0.41995144396665,0.365478423895998,43.4
"Bombus huntii",30,0.297029702970297,4.35481737502677,0.111827245834226,0.0135746606334842,0.981396396396396,0.71,0.432696015294437,0.313471896420083,1.20361990950226,0.023540790623715,0.216216763122749,0.00598594734778806,0.00773363053269159,NA,2.08816670639611,8.07010671930762,0.250219288756587,0.386481691855488,0.411561708496282,42.5
"Bombus morrisoni",8,0.0792079207920792,0.150422335673269,-0.106197208040841,0.217194570135747,0.9675,0.93,0.4015540744912,0.023511570411867,1.42533936651584,0.00589802116865799,0,0.00524712764995024,0.00302950529786152,NA,1.90542004311014,6.72223066136956,0.208427451265468,0.311666626137847,0.218690813206504,16
"Bombus nevadensis",5,0.0495049504950495,0.407350041916057,-0.118529991616789,0.294117647058824,0.99375,0.96,0.6858189506977,0.174325076498937,1.5972850678733,0.00287272250175649,0,0.0046741654353005,0.00508580509915795,NA,0.938719433840127,2.55670529085174,0.0792724311695364,0.0806277228352466,0.601591906797665,7
"Bombus occidentalis",3,0.0297029702970297,0.0818581686051566,-0.306047277131614,0.438914027149321,0.98,0.98,0.571547606649408,0.0272860562017188,1.60633484162896,0.000386945320926224,0,0.00464400952926631,0.000768250786863838,NA,1.09861228866811,3,0.0930170928810425,0.120022047678104,0.295692637785347,6
"Bombus rufocinctus",14,0.138613861386139,1.78883877213534,0.0563456265810958,0.108597285067873,0.993150684931507,0.87,0.610844556965307,0.175381921068013,1.4027149321267,0.00738174375358847,0.0115410039526758,0.00532251741503574,0.00645981697587269,NA,1.54210994185321,4.67444267557424,0.144934356173666,0.271462036654265,0.455170411169343,20.25
"Bombus sonorus",13,0.128712871287129,3.26062528294686,0.173894252534374,0.113122171945701,0.981666666666667,0.88,0.429925156438197,0.329794093300679,1.74660633484163,0.00587539482471356,0.00285321138046866,0.00417659298573626,0.00482972458682506,NA,1.99716450113828,7.36813411492168,0.228454138442549,0.0638004685131597,0.693128925189028,19.25
"Calliopsis teucrii",1,0.0099009900990099,0.0024330900243309,-0.997566909975669,0.710407239819005,1,1,1,0.0024330900243309,1.76923076923077,0,0,0.00410120322065076,0.000279655080709934,NA,0,1,0.0310056976270142,0.0566349731293923,0.0926723516995614,1
"Ceratina nanula a",1,0.0099009900990099,0.05,-0.95,0.714932126696833,1,1,1,0.05,2.02262443438914,0,0,0.00342772131922037,0.000278961832518181,NA,0,1,0.0310056976270142,0.00275595976298746,0.548381054869318,1
"Chamaesyrphus willistoni",5,0.0495049504950495,0.205900046078818,-0.158819990784236,0.312217194570136,0.995,0.96,0.690142229034202,0.0895106330492127,1.57466063348416,0.000993866052000279,0,0.004749555200386,0.00298178987431515,NA,1.05066527659281,2.85955287899081,0.0886624319144469,0.108194387028616,0.504187879426211,8
"Cheilosia sp. a",7,0.0693069306930693,0.966650220193047,-0.00476425425813608,0.230769230769231,0.996333333333333,0.94,0.742615840616188,0.643906853072283,1.38914027149321,0.016803248484145,0.00853939859970051,0.00536775127408703,0.00536139734999458,NA,0.981199767888684,2.66765488940286,0.082712500874051,0.176588121813422,0.728884407721763,7.16666666666667
"Chrysotoxum sp. a",17,0.168316831683168,2.95765890634356,0.115156406255504,0.0723981900452489,0.985660377358491,0.84,0.462491300710596,0.385825593801844,1.41176470588235,0.00869917006329916,1.34903611369676e-05,0.00529236150900154,0.0058223287728817,NA,2.01033938862154,7.46585074218421,0.231483910640583,0.221217044649753,0.599183328498337,21.1666666666667
