"Site","PlantGenusSpecies"
"SC","Penstemon strictus"
"SC","Potentilla fruticosa"
"SC","Potentilla hippiana"
"SC","Solidago multiradiata"
"SC","Tetraneuris acaulis"
"SC","Townsendia grandiflora"
"SC","Tragopogon pratensis"
"SC","Vicia americana"
"SM","Achillea millefolium"
"SM","Agastache pallidiflora neomexicana"
"SM","Arenaria lanuginosa"
"SM","Campanula rotundifolia"
"SM","Cymopterus lemmonii"
"SM","Erigeron divergens"
"SM","Erigeron flagellaris"
"SM","Erigeron formosissimus"
"SM","Erigeron subtrinervis"
"SM","Erigeron tracyi"
"SM","Gentiana parryi"
"SM","Hesperidanthus linearifolius"
"SM","Heterotheca pumila"
"SM","Ipomopsis aggregata"
"SM","Linum lewisii"
"SM","Lupinus palmeri"
"SM","Mirabilis oblongifolia"
"SM","Monardella odoratissima"
"SM","Pennellia longifolia"
"SM","Penstemon pseudoparvus"
"SM","Potentilla hippiana"
"SM","Silene laciniata"
"SM","Tragopogon pratensis"
"SM","Vicia pulchella"
"SM","Viguiera multiflora"
