"Site","Year","SampleRound","GenusSpecies","Abundance","SpParasitismRate"
"SM",2018,1,"Sphecodes sp. b",1,NA
"SM",2018,2,"Anthidium maculosum",4,NA
"SM",2018,2,"Paragus sp. a",1,NA
"SM",2018,2,"Sphecodes sp. b",4,NA
"SM",2021,1,"Agapostemon angelicus",6,NA
"SM",2021,1,"Anthophora urbana",1,NA
"SM",2021,1,"Asemosyrphus polygrammus",3,NA
"SM",2021,1,"Bombus centralis",4,NA
"SM",2021,1,"Dufourea maura",2,NA
"SM",2021,1,"Eristalis stipator",1,NA
"SM",2021,1,"Hylaeus annulatus",1,NA
"SM",2021,1,"Lasioglossum ruidosense",1,NA
"SM",2021,1,"Lasioglossum semicaeruleum",3,NA
"SM",2021,1,"Lasioglossum sisymbrii",1,NA
"SM",2021,1,"Melissodes confusus",2,NA
"SM",2021,2,"Anthidium manicatum",1,NA
"SM",2022,1,"Bombus centralis",6,NA
"SM",2022,1,"Dufourea maura",1,NA
"SS",2017,1,"Agapostemon angelicus",2,NA
"SS",2017,1,"Anthophora montana",1,NA
"SS",2017,1,"Anthophora terminalis",1,NA
"SS",2017,1,"Asemosyrphus polygrammus",2,NA
"SS",2017,1,"Bombus huntii",3,NA
"SS",2017,1,"Copestylum satur",1,NA
"SS",2017,1,"Eupeodes volucris",1,NA
"SS",2017,1,"Halictus ligatus",1,NA
"SS",2017,1,"Lasioglossum M2",1,NA
"SS",2017,1,"Lasioglossum desertum",1,NA
"SS",2017,1,"Lasioglossum ruidosense",1,NA
"SS",2017,1,"Lasioglossum semicaeruleum",3,NA
"SS",2017,1,"Lasioglossum sisymbrii",1,NA
"SS",2017,1,"Megachile melanophaea rohweri",1,NA
"SS",2017,1,"Sphecodes sp. b",2,NA
"VC",2017,1,"Agapostemon angelicus",3,NA
"VC",2017,1,"Anthophora montana",4,NA
"VC",2017,1,"Anthophora urbana",3,NA
"VC",2017,1,"Bombus huntii",3,NA
"VC",2017,1,"Copestylum avidum",1,NA
"VC",2017,1,"Dianthidium sp. a",1,NA
"VC",2017,1,"Hylaeus annulatus",1,NA
"VC",2017,1,"Hylaeus wootoni",1,NA
"VC",2017,1,"Lasioglossum obnubilum",2,NA
"VC",2017,1,"Lasioglossum pacatum",1,NA
"VC",2017,1,"Lasioglossum pacatum/viridatulum",1,NA
"VC",2017,1,"Lasioglossum semicaeruleum",2,NA
"VC",2017,1,"Lasioglossum sisymbrii",2,NA
