"UniqueID","TempID","EventID","Collector","Apidae","AspergillusSpp","AscosphaeraSpp","ApicystisSpp","CrithidiaExpoeki","CrithidiaBombi","NosemaCeranae","NosemaBombi","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","Sex","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","PanColor","PanLocation","Date","SampleRound","NetNumber","Method","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","GeographyFK","SiteSubSite","Site","Country","State","County","Meadow","Forest","MtRange","Lat","Long","Elev","Area","GenusSpecies","PlantGenusSpecies","Int","Doy","Year","DoyPoly1","DoyPoly2","LatPoly1","LatPoly2","ParasiteRichness","PossibleParasite","ParasitePresence"
"17669",17669,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Eupeodes","","volucris","","M.Hauser","","f","Taraxacum","officinale","",NA,"","",2018-08-21,2,"3","Net","10:37","11:29",20.6,"21.7",0.6,"1.5","clear","partly cloudy",13,"JC3","JC","USA","NM","San Miguel","Jack's Creek Campground","Santa Fe","Pecos",35.8555,-105.63979,2952,3528.8968,"Eupeodes volucris","Taraxacum officinale","Eupeodes volucris Taraxacum officinale",233,2018,0.017313051501274,0.0145239507492617,0.0160668428654316,0.0159357679343123,NA,0,NA
"17672",17672,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Scaeva","","affinis","","M.Hauser","","f","Campanula","rotundifolia","",NA,"","",2018-08-21,2,"2","Net","9:52","10:35",17.3,"20.6",0.5,"0.5","clear","clear",12,"JC2","JC","USA","NM","San Miguel","Jack's Creek Campground","Santa Fe","Pecos",35.85482,-105.63925,3028,3528.8968,"Scaeva affinis","Campanula rotundifolia","Scaeva affinis Campanula rotundifolia",233,2018,0.017313051501274,0.0145239507492617,0.0160600129473285,0.0159152826223086,NA,0,NA
"17674",17674,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Megachile","Xanthosarus","comata","","T. Griswold","Cresson","f","Mirabilis","oblongifolia","",NA,"","",2018-08-28,2,"1","Net","11:30","12:16",17.9,"15",0.9,"2","clear","clear",31,"SM1","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24745,-107.59966,3187,7867.07064,"Megachile comata","Mirabilis oblongifolia","Megachile comata Mirabilis oblongifolia",240,2018,0.0220015914636009,0.0269195538696452,0.00995959036161647,0.000653851469070147,NA,0,NA
"17675",17675,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","cf.","J. Gardener","Cockerell","m","Mirabilis","oblongifolia","",NA,"","",2018-08-28,2,"1","Net","11:30","12:16",17.9,"15",0.9,"2","clear","clear",31,"SM1","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24745,-107.59966,3187,7867.07064,"Lasioglossum ruidosense cf.","Mirabilis oblongifolia","Lasioglossum ruidosense cf. Mirabilis oblongifolia",240,2018,0.0220015914636009,0.0269195538696452,0.00995959036161647,0.000653851469070147,NA,0,NA
"17682",17682,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"2","Net","12:20","13:01",18.3,"21.4",0.6,"0.9","clear","clear",34,"SM4","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24711,-107.59861,3215,7867.07064,"Anthidium maculosum","Hesperidanthus linearifolius","Anthidium maculosum Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.0099561754025649,0.000647006764235413,NA,0,NA
"17683",17683,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"3","Net","13:03","14:03",21.3,"22.1",0.9,"0.3","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Hesperidanthus linearifolius","Anthidium maculosum Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17686",17686,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Lupinus","palmeri","",NA,"","",2018-08-28,2,"3","Net","13:03","14:03",21.3,"22.1",0.9,"0.3","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Lupinus palmeri","Anthidium maculosum Lupinus palmeri",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17690",17690,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","cf.","J. Gardener","Cockerell","m","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"5","Net","14:41","15:24",22.1,"22.2",0.9,"0.5","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Lasioglossum ruidosense cf.","Hesperidanthus linearifolius","Lasioglossum ruidosense cf. Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17691",17691,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Apidae","Heterosarus","","bakeri","","D. Yanega","Cockerell","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"5","Net","14:41","15:24",22.1,"22.2",0.9,"0.5","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Heterosarus bakeri","Hesperidanthus linearifolius","Heterosarus bakeri Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17692",17692,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Syrphus","","sonorensis","","M.Hauser","Vockeroth","f","Campanula","rotundifolia","",NA,"","",2018-08-28,2,"5","Net","14:41","15:24",22.1,"22.2",0.9,"0.5","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Syrphus sonorensis","Campanula rotundifolia","Syrphus sonorensis Campanula rotundifolia",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
