"","key","site","date","number","genID","genSp","sex","fieldPlantID","finalPlantID","samplingDay","sampingRound","collector","determiner.x","dateDetermined","notes","uniqueID","genus_species","genus","family","determiner.y"
"30","Colias_eurytheme","SC","072712","268","sulfur","","","wall flower","Erysimum capitatum",5,1,"HLS","","","","EMEC_SI_SC_072712_268","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"31","Colias_eurytheme","MM","080112","241","sulfur","","","yellow brassica","Erysimum capitatum",2,1,"HLS","","","","EMEC_SI_MM_080112_241","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"32","Colias_eurytheme","JC","071512","3","sulfur","Colias eurytheme","f","Erigeron subtrinervis","Erigeron subtrinervis",4,1,"LCP","","","","EMEC_SI_JC_071512_3","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"33","Colias_eurytheme","PL","081112","274","sulfur","Colias eurytheme","","purple penstemon","Penstemon strictus",3,1,"HLS","","","","EMEC_SI_PL_081112_274","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"34","Colias_eurytheme","PL","081312","231","sulfur","Colias eurytheme","","purple flower","Glandularia bipinnatifida",5,1,"HLS","","","","EMEC_SI_PL_081312_231","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"35","Colias_eurytheme","JC","071212","126","pierid","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",2,1,"LCP","","","","EMEC_SI_JC_071212_126","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"36","Colias_eurytheme","SC","072612","283","sulfur","","","wall flower","Erysimum capitatum",4,1,"LCP","","","","EMEC_SI_SC_072612_283","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"37","Colias_eurytheme","SC","072012","325","sulfur","Colias eurytheme","f","Erigeron subtrinervis","Erigeron subtrinervis",1,1,"HLS","","","","EMEC_SI_SC_072012_325","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"38","Colias_eurytheme","PL","080912","391","sulfur","Colias eurytheme","","purple flower","Glandularia bipinnatifida",1,1,"HLS","","","","EMEC_SI_PL_080912_391","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"39","Colias_eurytheme","PL","081312","276","sulfur","","","purple flower","Glandularia bipinnatifida",5,1,"LCP","","","","EMEC_SI_PL_081312_276","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"40","Colias_eurytheme","CH","082112","187","sulfur","","","yellow aster","Heliomeris multiflora var. nevadensis",4,2,"HLS","","","","EMEC_SI_CH_082112_187","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"41","Colias_eurytheme","JC","071612","3","sulfur","Colias eurytheme","f","white aster","Hymenopappus newberryi",5,1,"HLS","","","","EMEC_SI_JC_071612_3","Colias eurytheme","Colias","Pieridae","L.Ponisio"
