,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
24,Colias_eurytheme,MM,80212,331,sulfur,,,yellow brassica,Erysimum capitatum,3,1,LCP,EMEC_SI_MM_080212_331,Colias eurytheme,Colias,Pieridae,L.Ponisio," 33Á59'29.31""N","107Á11'1.23""W",New Mexico,USA,Socorro
25,Colias_eurytheme,PL,81112,267,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,LCP,EMEC_SI_PL_081112_267,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
26,Colias_eurytheme,JC,71612,12,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_12,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
27,Colias_eurytheme,JC,71512,18,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_18,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
28,Colias_eurytheme,JC,71612,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_8,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
29,Colias_eurytheme,PL,81212,292,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,EMEC_SI_PL_081212_292,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
30,Colias_eurytheme,PL,81312,231,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,5,1,HLS,EMEC_SI_PL_081312_231,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
31,Colias_eurytheme,PL,81212,294,sulfur,Colias eurytheme,,orange dandilion,Agoseris aurantica,4,1,LCP,EMEC_SI_PL_081212_294,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
32,Colias_eurytheme,SC,72612,283,sulfur,,,wall flower,Erysimum capitatum,4,1,LCP,EMEC_SI_SC_072612_283,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
33,Colias_eurytheme,PL,81112,274,sulfur,Colias eurytheme,,purple penstemon,Penstemon strictus,3,1,HLS,EMEC_SI_PL_081112_274,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
34,Colias_eurytheme,JC,71212,126,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,EMEC_SI_JC_071212_126,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
