Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
South Baldy meadow,Andrenidae,Pseudopanurgus atricornis,Cibola,New Mexico,J.S. Ascher,29
South Baldy meadow,Lycaenidae,Celastrina argiolus ladon,Cibola,New Mexico,L.Ponisio,1
South Baldy meadow,Pieridae,Colias eurytheme,Cibola,New Mexico,L.Ponisio,3
South Baldy meadow,Nymphalidae,Euptoierta claudia,Cibola,New Mexico,L.Ponisio,1
South Baldy meadow,Hesperiidae,Garisma garita,Cibola,New Mexico,L.Ponisio,9
South Baldy meadow,Lycaenidae,Hemiargus isola,Cibola,New Mexico,L.Ponisio,10
South Baldy meadow,Lycaenidae,Leptotes marina,Cibola,New Mexico,L.Ponisio,1
South Baldy meadow,Pieridae,Nathalis iole,Cibola,New Mexico,L.Ponisio,2
South Baldy meadow,Nymphalidae,Polygonia gracilis,Cibola,New Mexico,L.Ponisio,8
South Baldy meadow,Lycaenidae,Strymon melinus,Cibola,New Mexico,L.Ponisio,1
South Baldy meadow,Nymphalidae,Vanessa cardui,Cibola,New Mexico,L.Ponisio,16
South Baldy meadow,Nymphalidae,Vanessa carye annabella,Cibola,New Mexico,L.Ponisio,1
South Baldy meadow,Syrphidae,Chamaesyrphus willistoni,Cibola,New Mexico,M. Hauser,12
South Baldy meadow,Syrphidae,Chrysotoxum sp. a,Cibola,New Mexico,M. Hauser,105
South Baldy meadow,Syrphidae,Copestylum anna,Cibola,New Mexico,M. Hauser,73
South Baldy meadow,Syrphidae,Copestylum avidum,Cibola,New Mexico,M. Hauser,67
South Baldy meadow,Syrphidae,Copestylum comstocki,Cibola,New Mexico,M. Hauser,2
South Baldy meadow,Syrphidae,Copestylum haagi,Cibola,New Mexico,M. Hauser,5
South Baldy meadow,Syrphidae,Copestylum lentum,Cibola,New Mexico,M. Hauser,84
South Baldy meadow,Syrphidae,Copestylum mexicana,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Copestylum victoria,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Copestylum violaceum,Cibola,New Mexico,M. Hauser,69
South Baldy meadow,Syrphidae,Dasysyrphus sp. a,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Didea fuscipes,Cibola,New Mexico,M. Hauser,3
South Baldy meadow,Syrphidae,Eristalis stipator,Cibola,New Mexico,M. Hauser,3
South Baldy meadow,Syrphidae,Eristalis tenax,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Eupeodes volucris,Cibola,New Mexico,M. Hauser,3
South Baldy meadow,Syrphidae,Lejops polygrammus,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Platycheirus spinipes,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Syrphidae,Xylota sp. a,Cibola,New Mexico,M. Hauser,1
South Baldy meadow,Apidae,Bombus centralis,Cibola,New Mexico,R.W. Thorp,2
South Baldy meadow,Apidae,Bombus flavifrons,Cibola,New Mexico,R.W. Thorp,34
South Baldy meadow,Apidae,Bombus huntii,Cibola,New Mexico,R.W. Thorp,103
South Baldy meadow,Apidae,Bombus morrisoni,Cibola,New Mexico,R.W. Thorp,6
South Baldy meadow,Apidae,Bombus rufocinctus,Cibola,New Mexico,R.W. Thorp,1
