site,date,number,finalPlantID,temp.id,meadow,mtn,forest,county,genus,subgenus,species
PL,81112,76,Geranium viscosissimum,PL_081112_76,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81012,79,Campanula rotundifolia,PL_081012_79,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82212,80,Monarda citriodora spp. austromontana,CH_082212_80,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81012,82,Gentianopsis detonsa,PL_081012_82,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82212,82,Linum neomexicanum,CH_082212_82,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81012,83,Gentianopsis detonsa,PL_081012_83,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82212,83,Linum neomexicanum,CH_082212_83,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
JC,71412,101,Hymenopappus newberryi,JC_071412_101,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,confusa
CH,82112,106,Heliomeris multiflora var. nevadensis,CH_082112_106,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
JC,71212,107,Erigeron subtrinervis,JC_071212_107,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,confusa
CH,82112,115,Cosmos parviflorus,CH_082112_115,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
CH,82012,120,Heliomeris multiflora var. nevadensis,CH_082012_120,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,80912,122,Cirsium parryi,PL_080912_122,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,80912,123,Cirsium parryi,PL_080912_123,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82012,133,Hymenoxys hoopesii,CH_082012_133,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81112,140,Cirsium parryi,PL_081112_140,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,142,Cirsium parryi,PL_081112_142,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,143,Cirsium parryi,PL_081112_143,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,144,Cirsium parryi,PL_081112_144,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,145,Cirsium parryi,PL_081112_145,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,148,Cirsium parryi,PL_081112_148,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,152,Cirsium parryi,PL_081112_152,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82112,155,Hymenoxys hoopesii,CH_082112_155,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81312,156,Cirsium parryi,PL_081312_156,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81312,157,Cirsium parryi,PL_081312_157,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81312,158,Cirsium parryi,PL_081312_158,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82112,158,Heliomeris multiflora var. nevadensis,CH_082112_158,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
PL,81312,159,Cirsium parryi,PL_081312_159,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,162,Cirsium parryi,PL_081212_162,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,163,Cirsium parryi,PL_081212_163,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,164,Cirsium parryi,PL_081212_164,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81312,164,Cirsium parryi,PL_081312_164,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,166,Cirsium parryi,PL_081212_166,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,167,Cirsium parryi,PL_081212_167,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,168,Cirsium parryi,PL_081212_168,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,178,Hymenoxys hoopesii,PL_081212_178,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,179,Hymenoxys hoopesii,PL_081212_179,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
CH,82112,180,Linum neomexicanum,CH_082112_180,Barefoot,Chiricahua Mts.,Coronado,Cochise,Melissodes,Eumelissodes,confusa
SC,72712,212,Hymenoxys richardsonii,SC_072712_212,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,confusa
SC,72712,214,Hymenoxys richardsonii,SC_072712_214,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,confusa
SC,72712,215,Hymenoxys richardsonii,SC_072712_215,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,confusa
SC,72812,216,Townsendia grandiflora,SC_072812_216,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,confusa
PL,81012,219,Cirsium parryi,PL_081012_219,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81012,225,Cirsium parryi,PL_081012_225,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81012,226,Cirsium parryi,PL_081012_226,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81112,230,Gentianopsis detonsa,PL_081112_230,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81012,246,Cirsium parryi,PL_081012_246,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,80912,249,Cirsium parryi,PL_080912_249,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
SC,72012,250,Erigeron subtrinervis,SC_072012_250,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,confusa
PL,81012,254,Cirsium parryi,PL_081012_254,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81012,256,Cirsium parryi,PL_081012_256,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,262,Cirsium parryi,PL_081212_262,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,264,Cirsium parryi,PL_081212_264,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81212,270,Hymenoxys hoopesii,PL_081212_270,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
PL,81312,295,Cirsium parryi,PL_081312_295,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,confusa
JC,71512,164,Erigeron subtrinervis,JC_071512_164,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,coreopsis
PL,81212,23,Cirsium parryi,PL_081212_23,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Melissodes,gilensis
SC,72012,258,Erigeron subtrinervis,SC_072012_258,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,grindeliae
SC,72612,258,Erigeron subtrinervis,SC_072612_258,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,grindeliae
PL,81312,195,Hymenoxys hoopesii,PL_081312_195,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,limbus
JC,71712,28,Erigeron subtrinervis,JC_071712_28,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,menuachus
SC,72812,34,Erigeron subtrinervis,SC_072812_34,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,menuachus
JC,71412,40,Erigeron subtrinervis,JC_071412_40,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,menuachus
SC,72812,157,Erigeron subtrinervis,SC_072812_157,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,menuachus
SC,72812,25,Erigeron subtrinervis,SC_072812_25,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,pallidisignata
SC,72812,181,Erigeron subtrinervis,SC_072812_181,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,Melissodes,Eumelissodes,pallidisignata
PL,81312,2,Cirsium parryi,PL_081312_2,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Melissodes,paroselae
